REF_AREA,CURRENCY_DENOM,TIME_PERIOD,OBS_VALUE
AT,EUR,2019-10,6086
AT,EUR,2019-11,5026
AT,EUR,2019-12,4573
AT,EUR,2020-01,9468
AT,EUR,2020-02,6423
AT,EUR,2020-03,11541
AT,EUR,2020-04,15924
AT,EUR,2020-05,8923
AT,EUR,2020-06,19060
AT,EUR,2020-07,13427
AT,EUR,2020-08,5523
AT,EUR,2020-09,10852
AT,EUR,2020-10,13450
AT,EUR,2020-11,8365
AT,EUR,2020-12,6087.032931527499
AT,EUR,2021-01,6905.360049000001
AT,EUR,2021-02,8663.530999999999
AT,EUR,2021-03,25982.297921999998
AT,EUR,2021-04,18630.33482939816
AT,EUR,2021-05,11818.876038
AT,EUR,2021-06,12552.612003999999
AT,EUR,2021-07,8512.17402039816
AT,EUR,2021-08,19780.894469000003
AT,EUR,2021-09,24133.720877
AT,EUR,2021-10,15866.922436
AT,EUR,2021-11,9437.215419
AT,EUR,2021-12,8209.554142
AT,EUR,2022-01,24210.179825
AT,EUR,2022-02,13449.601789999999
AT,EUR,2022-03,15360.115565
AT,EUR,2022-04,19687.016033
AT,EUR,2022-05,24020.057037
AT,EUR,2022-06,16297.580317
AT,EUR,2022-07,12185.391994000001
AT,EUR,2022-08,12081.773606000002
AT,EUR,2022-09,17437.73558
AT,EUR,2022-10,16775.84036
AT,EUR,2022-11,13435.707462
AT,EUR,2022-12,7756.733923999999
AT,EUR,2023-01,38209.252449
AT,EUR,2023-02,20848.452335
AT,EUR,2023-03,22101.746015
AT,EUR,2023-04,27094.964496
AT,EUR,2023-05,15452.806776000001
AT,EUR,2023-06,13300.973699000002
AT,EUR,2023-07,20763.678761
AT,EUR,2023-08,13431.976059999999
AT,EUR,2023-09,12619.715892
AT,EUR,2023-10,18874.585992
AT,EUR,2023-11,10215.181027999999
AT,EUR,2023-12,3889.787711
AT,EUR,2024-01,26704.268244
AT,EUR,2024-02,14056.486013999998
AT,EUR,2024-03,13043.693885240002
AT,EUR,2024-04,15805.525983
AT,EUR,2024-05,18017.536804
AT,EUR,2024-06,14320.097441
AT,EUR,2024-07,16862.4194689999
AT,EUR,2024-08,11561.472161
AT,EUR,2024-09,21712.887193
AT,EUR,2024-10,17824.471509000003
AT,EUR,2024-11,15888.118025
AT,EUR,2024-12,6722.325837999901
AT,EUR,2025-01,22641.103519000004
AT,EUR,2025-02,24700.630508
AT,EUR,2025-03,18853.261598
AT,EUR,2025-04,28097.893259000004
AT,EUR,2025-05,19973.4554009999
AT,EUR,2025-06,14192.624657999999
AT,EUR,2025-07,16625.916187
AT,EUR,2025-08,9328.919856999999
AT,EUR,2025-09,17326.878770409
AT,EUR,2025-10,16379.201741329902
AT,EUR,2025-11,14337.061224100002
AT,EUR,2025-12,8357.87497995
AT,EUR,2026-01,26112.23908082
AT,EUR,2026-02,17520.2668877095
AT,EUR,2026-03,17585.409537699998
AT,EUR,2026-04,19200.31098704
AT,EUR,2026-05,13230.78373159
AT,EUR,2026-06,20960.245525079998
AT,EUR,2026-07,9348.5
AT,X1,2014-01,1924
AT,X1,2014-02,1547
AT,X1,2014-03,3188
AT,X1,2014-04,4383
AT,X1,2014-05,3576
AT,X1,2014-06,1820
AT,X1,2014-07,3455
AT,X1,2014-08,1115
AT,X1,2014-09,2361
AT,X1,2014-10,7745
AT,X1,2014-11,3557
AT,X1,2014-12,2932
AT,X1,2015-01,1733
AT,X1,2015-02,3034
AT,X1,2015-03,2272
AT,X1,2015-04,922
AT,X1,2015-05,3102
AT,X1,2015-06,1611
AT,X1,2015-07,5439
AT,X1,2015-08,2244
AT,X1,2015-09,3541
AT,X1,2015-10,1971
AT,X1,2015-11,1833
AT,X1,2015-12,1471
AT,X1,2016-01,3466
AT,X1,2016-02,2612
AT,X1,2016-03,1808
AT,X1,2016-04,3486
AT,X1,2016-05,1397
AT,X1,2016-06,1861
AT,X1,2016-07,1278
AT,X1,2016-08,1457
AT,X1,2016-09,3961
AT,X1,2016-10,3185
AT,X1,2016-11,2589
AT,X1,2016-12,2141
AT,X1,2017-01,3209
AT,X1,2017-02,3040
AT,X1,2017-03,3333
AT,X1,2017-04,2574
AT,X1,2017-05,4006
AT,X1,2017-06,3378
AT,X1,2017-07,1966
AT,X1,2017-08,3087
AT,X1,2017-09,1389
AT,X1,2017-10,1358
AT,X1,2017-11,1707
AT,X1,2017-12,1054
AT,X1,2018-01,2583
AT,X1,2018-02,3467
AT,X1,2018-03,2982
AT,X1,2018-04,2666
AT,X1,2018-05,1789
AT,X1,2018-06,1169
AT,X1,2018-07,1772
AT,X1,2018-08,1081
AT,X1,2018-09,2178
AT,X1,2018-10,2608
AT,X1,2018-11,3958
AT,X1,2018-12,1784
AT,X1,2019-01,3116
AT,X1,2019-02,1868
AT,X1,2019-03,1790
AT,X1,2019-04,3789
AT,X1,2019-05,2859
AT,X1,2019-06,3202
AT,X1,2019-07,2815
AT,X1,2019-08,1233
AT,X1,2019-09,1972
AT,X1,2019-10,3192
AT,X1,2019-11,2973
AT,X1,2019-12,1787
AT,X1,2020-01,2813
AT,X1,2020-02,2303
AT,X1,2020-03,2716
AT,X1,2020-04,890
AT,X1,2020-05,3538
AT,X1,2020-06,7854
AT,X1,2020-07,7246
AT,X1,2020-08,2514
AT,X1,2020-09,5317
AT,X1,2020-10,5564
AT,X1,2020-11,2107
AT,X1,2020-12,4315.997071503919
AT,X1,2021-01,7300.889137483545
AT,X1,2021-02,7193.143800000001
AT,X1,2021-03,4763.047692072345
AT,X1,2021-04,3419.7323095767138
AT,X1,2021-05,5273.307711159408
AT,X1,2021-06,3390.9093099999996
AT,X1,2021-07,2854.41770482836
AT,X1,2021-08,4697.678176271788
AT,X1,2021-09,9681.1177895938
AT,X1,2021-10,7343.214912717001
AT,X1,2021-11,13136.249404364347
AT,X1,2021-12,8622.312574022691
AT,X1,2022-01,9821.012729355
AT,X1,2022-02,9342.957355371116
AT,X1,2022-03,9613.09551
AT,X1,2022-04,15760.288399223453
AT,X1,2022-05,11228.03125758536
AT,X1,2022-06,6639.875649099027
AT,X1,2022-07,8147.797540112453
AT,X1,2022-08,4861.1768780040575
AT,X1,2022-09,4794.684548514901
AT,X1,2022-10,21411.977936935727
AT,X1,2022-11,14970.417129997557
AT,X1,2022-12,3471.751836103887
AT,X1,2023-01,10966.533824316297
AT,X1,2023-02,12553.201100992199
AT,X1,2023-03,14761.938151015607
AT,X1,2023-04,10720.36620069153
AT,X1,2023-05,10748.440040456671
AT,X1,2023-06,4324.0436758072965
AT,X1,2023-07,7996.50486416053
AT,X1,2023-08,5108.10656
AT,X1,2023-09,3753.240957941229
AT,X1,2023-10,7587.336944308518
AT,X1,2023-11,2266.465321847787
AT,X1,2023-12,1034.325052137715
AT,X1,2024-01,4261.6696107264
AT,X1,2024-02,3351.4274510244477
AT,X1,2024-03,2703.904673046899
AT,X1,2024-04,5733.299099694417
AT,X1,2024-05,3024.9303195303187
AT,X1,2024-06,2408.3638213246004
AT,X1,2024-07,3256.415028959731
AT,X1,2024-08,2981.61517
AT,X1,2024-09,3839.3435361251004
AT,X1,2024-10,4453.3499809697505
AT,X1,2024-11,5070.634746981131
AT,X1,2024-12,1377.0112448473428
AT,X1,2025-01,5116.47009903846
AT,X1,2025-02,4163.40005076923
AT,X1,2025-03,4850.47062393729
AT,X1,2025-04,4857.85144219365
AT,X1,2025-05,3888.1233
AT,X1,2025-06,2289.59626692191
AT,X1,2025-07,5413.5418918794
AT,X1,2025-08,3008.200922286565
AT,X1,2025-09,8827.2806905695
AT,X1,2025-10,10024.874384011
AT,X1,2025-11,4133.853907138368
AT,X1,2025-12,4700.411235334911
AT,X1,2026-01,11064.814107943861
AT,X1,2026-02,4158.78742556435
AT,X1,2026-03,9291.677621536792
AT,X1,2026-04,8885.106395737599
AT,X1,2026-05,5778.2435735927
AT,X1,2026-06,2200.85302693816
AT,X1,2026-07,3466.0798
AT,_T,2014-01,8964
AT,_T,2014-02,6789
AT,_T,2014-03,9486
AT,_T,2014-04,11222
AT,_T,2014-05,13174
AT,_T,2014-06,10290
AT,_T,2014-07,8935
AT,_T,2014-08,4439
AT,_T,2014-09,7035
AT,_T,2014-10,16537
AT,_T,2014-11,8633
AT,_T,2014-12,6906
AT,_T,2015-01,5233
AT,_T,2015-02,8003
AT,_T,2015-03,7227
AT,_T,2015-04,3171
AT,_T,2015-05,5415
AT,_T,2015-06,8551
AT,_T,2015-07,10758
AT,_T,2015-08,5689
AT,_T,2015-09,9205
AT,_T,2015-10,6632
AT,_T,2015-11,6065
AT,_T,2015-12,6945
AT,_T,2016-01,8639
AT,_T,2016-02,13019
AT,_T,2016-03,5063
AT,_T,2016-04,7215
AT,_T,2016-05,4442
AT,_T,2016-06,5057
AT,_T,2016-07,4204
AT,_T,2016-08,3953
AT,_T,2016-09,9158
AT,_T,2016-10,18439
AT,_T,2016-11,9523
AT,_T,2016-12,6733
AT,_T,2017-01,9024
AT,_T,2017-02,7846
AT,_T,2017-03,9315
AT,_T,2017-04,10552
AT,_T,2017-05,7105
AT,_T,2017-06,7827
AT,_T,2017-07,5153
AT,_T,2017-08,6579
AT,_T,2017-09,14916
AT,_T,2017-10,3836
AT,_T,2017-11,5545
AT,_T,2017-12,3631
AT,_T,2018-01,14598
AT,_T,2018-02,6183
AT,_T,2018-03,7423
AT,_T,2018-04,6416
AT,_T,2018-05,4921
AT,_T,2018-06,6461
AT,_T,2018-07,7135
AT,_T,2018-08,3162
AT,_T,2018-09,7078
AT,_T,2018-10,5546
AT,_T,2018-11,6082
AT,_T,2018-12,6637
AT,_T,2019-01,7977
AT,_T,2019-02,10392
AT,_T,2019-03,8816
AT,_T,2019-04,9413
AT,_T,2019-05,8357
AT,_T,2019-06,8695
AT,_T,2019-07,10644
AT,_T,2019-08,4415
AT,_T,2019-09,8609
AT,_T,2019-10,9278
AT,_T,2019-11,7999
AT,_T,2019-12,6360
AT,_T,2020-01,12281
AT,_T,2020-02,8726
AT,_T,2020-03,14257
AT,_T,2020-04,16814
AT,_T,2020-05,12461
AT,_T,2020-06,26914
AT,_T,2020-07,20673
AT,_T,2020-08,8037
AT,_T,2020-09,16169
AT,_T,2020-10,19014
AT,_T,2020-11,10472
AT,_T,2020-12,10403.030003031417
AT,_T,2021-01,14206.249186483545
AT,_T,2021-02,15856.6748
AT,_T,2021-03,30745.345614072343
AT,_T,2021-04,22050.067138974875
AT,_T,2021-05,17092.183749159412
AT,_T,2021-06,15943.521314
AT,_T,2021-07,11366.591725226519
AT,_T,2021-08,24478.57264527179
AT,_T,2021-09,33814.8386665938
AT,_T,2021-10,23210.137348717
AT,_T,2021-11,22573.464823364346
AT,_T,2021-12,16831.86671602269
AT,_T,2022-01,34031.192554354995
AT,_T,2022-02,22792.559145371113
AT,_T,2022-03,24973.211075
AT,_T,2022-04,35447.30443222345
AT,_T,2022-05,35248.08829458536
AT,_T,2022-06,22937.455966099027
AT,_T,2022-07,20333.189534112455
AT,_T,2022-08,16942.95048400406
AT,_T,2022-09,22232.420128514903
AT,_T,2022-10,38187.81829693573
AT,_T,2022-11,28406.12459199756
AT,_T,2022-12,11228.48576010389
AT,_T,2023-01,49175.78627331629
AT,_T,2023-02,33401.65343599219
AT,_T,2023-03,36863.684166015606
AT,_T,2023-04,37815.330696691526
AT,_T,2023-05,26201.24681645667
AT,_T,2023-06,17625.017374807296
AT,_T,2023-07,28760.183625160527
AT,_T,2023-08,18540.08262
AT,_T,2023-09,16372.956849941229
AT,_T,2023-10,26461.922936308525
AT,_T,2023-11,12481.646349847786
AT,_T,2023-12,4924.112763137715
AT,_T,2024-01,30965.9378547264
AT,_T,2024-02,17407.913465024445
AT,_T,2024-03,15747.5985582869
AT,_T,2024-04,21538.825082694417
AT,_T,2024-05,21042.467123530318
AT,_T,2024-06,16728.4612623246
AT,_T,2024-07,20118.83449795963
AT,_T,2024-08,14543.087330999999
AT,_T,2024-09,25552.230729125098
AT,_T,2024-10,22277.82148996975
AT,_T,2024-11,20958.752771981133
AT,_T,2024-12,8099.337082847243
AT,_T,2025-01,27757.573618038463
AT,_T,2025-02,28864.03055876923
AT,_T,2025-03,23703.732221937287
AT,_T,2025-04,32955.74470119365
AT,_T,2025-05,23861.5787009999
AT,_T,2025-06,16482.22092492191
AT,_T,2025-07,22039.458078879397
AT,_T,2025-08,12337.120779286564
AT,_T,2025-09,26154.159460978502
AT,_T,2025-10,26404.0761253409
AT,_T,2025-11,18470.91513123837
AT,_T,2025-12,13058.286215284912
AT,_T,2026-01,37177.05318876386
AT,_T,2026-02,21679.05431327385
AT,_T,2026-03,26877.08715923679
AT,_T,2026-04,28085.417382777596
AT,_T,2026-05,19009.0273051827
AT,_T,2026-06,23161.098552018157
AT,_T,2026-07,12814.5798
BE,EUR,2014-01,23024.379
BE,EUR,2014-02,21117.436999999998
BE,EUR,2014-03,24211.817
BE,EUR,2014-04,18267.154000000002
BE,EUR,2014-05,22597.926
BE,EUR,2014-06,17179.172
BE,EUR,2014-07,16510.213
BE,EUR,2014-08,14062.023000000001
BE,EUR,2014-09,17337.389
BE,EUR,2014-10,18444.816
BE,EUR,2014-11,16700.182999999997
BE,EUR,2014-12,16787.864
BE,EUR,2015-01,20946.969
BE,EUR,2015-02,21034.824
BE,EUR,2015-03,24423.996
BE,EUR,2015-04,22418.496
BE,EUR,2015-05,19558.872000000003
BE,EUR,2015-06,17446.136
BE,EUR,2015-07,21143.623
BE,EUR,2015-08,12304.694
BE,EUR,2015-09,17744.123
BE,EUR,2015-10,21644.008
BE,EUR,2015-11,21975.026
BE,EUR,2015-12,14273.998
BE,EUR,2016-01,24119.477000000003
BE,EUR,2016-02,15394.152
BE,EUR,2016-03,30995.03
BE,EUR,2016-04,18841.703999999998
BE,EUR,2016-05,23220.677
BE,EUR,2016-06,16258.982
BE,EUR,2016-07,19894.585
BE,EUR,2016-08,11569.376
BE,EUR,2016-09,20417.147
BE,EUR,2016-10,18554.574
BE,EUR,2016-11,17555.979
BE,EUR,2016-12,16225.053
BE,EUR,2017-01,23330.847
BE,EUR,2017-02,20099.424
BE,EUR,2017-03,24318.464
BE,EUR,2017-04,19501.363
BE,EUR,2017-05,26940.72
BE,EUR,2017-06,25211.803
BE,EUR,2017-07,17520.717000000004
BE,EUR,2017-08,19048.316
BE,EUR,2017-09,26709.724
BE,EUR,2017-10,20856.271
BE,EUR,2017-11,16842.804
BE,EUR,2017-12,19222.57
BE,EUR,2018-01,28457.05
BE,EUR,2018-02,19147.331000000002
BE,EUR,2018-03,32225.630999999998
BE,EUR,2018-04,20461.637
BE,EUR,2018-05,14488.903
BE,EUR,2018-06,23618.477
BE,EUR,2018-07,19021.553
BE,EUR,2018-08,11651.843
BE,EUR,2018-09,24746.325
BE,EUR,2018-10,18567.088
BE,EUR,2018-11,22478.449999999997
BE,EUR,2018-12,20079.324999999997
BE,EUR,2019-01,30612.277
BE,EUR,2019-02,24704.362
BE,EUR,2019-03,22904.994
BE,EUR,2019-04,19001.559
BE,EUR,2019-05,18309.835
BE,EUR,2019-06,16259.367
BE,EUR,2019-07,15245.163999999999
BE,EUR,2019-08,12204.760000000002
BE,EUR,2019-09,18419.694
BE,EUR,2019-10,12621.003
BE,EUR,2019-11,17819.131
BE,EUR,2019-12,14209.003
BE,EUR,2020-01,29803.679000000004
BE,EUR,2020-02,24892.535
BE,EUR,2020-03,24026.305
BE,EUR,2020-04,42453.485
BE,EUR,2020-05,27312.559
BE,EUR,2020-06,33272.393
BE,EUR,2020-07,25861.464
BE,EUR,2020-08,14116.731000000002
BE,EUR,2020-09,24764.347999999998
BE,EUR,2020-10,17734.629
BE,EUR,2020-11,16054.881
BE,EUR,2020-12,15724.893
BE,EUR,2021-01,27104.561999999998
BE,EUR,2021-02,23582.497199999998
BE,EUR,2021-03,23170.344330000004
BE,EUR,2021-04,12909.779
BE,EUR,2021-05,16889.751
BE,EUR,2021-06,21389.735200000003
BE,EUR,2021-07,21726.379
BE,EUR,2021-08,14884.023863999999
BE,EUR,2021-09,25970.41445834
BE,EUR,2021-10,27171.787
BE,EUR,2021-11,26716.855894400003
BE,EUR,2021-12,10721.925
BE,EUR,2022-01,24223.508
BE,EUR,2022-02,22306.15
BE,EUR,2022-03,32722.243000000002
BE,EUR,2022-04,31599.840000000004
BE,EUR,2022-05,28285.701999999997
BE,EUR,2022-06,27264.4401
BE,EUR,2022-07,28319.146
BE,EUR,2022-08,19981.75
BE,EUR,2022-09,41452.668900000004
BE,EUR,2022-10,30066.27019622
BE,EUR,2022-11,43314.224
BE,EUR,2022-12,23459.565599999998
BE,EUR,2023-01,41332.3542
BE,EUR,2023-02,41696.458
BE,EUR,2023-03,47270.132
BE,EUR,2023-04,39976.345
BE,EUR,2023-05,39483.083000000006
BE,EUR,2023-06,39955.477999999996
BE,EUR,2023-07,32486.222
BE,EUR,2023-08,28193.614999999998
BE,EUR,2023-09,52817.94530000001
BE,EUR,2023-10,29189.275319760003
BE,EUR,2023-11,23072.701
BE,EUR,2023-12,25587.7393
BE,EUR,2024-01,45127.03
BE,EUR,2024-02,33004.037047260004
BE,EUR,2024-03,36844.7768
BE,EUR,2024-04,31178.338
BE,EUR,2024-05,20250.345999999998
BE,EUR,2024-06,32348.042799999996
BE,EUR,2024-07,26499.26
BE,EUR,2024-08,26374.317499999997
BE,EUR,2024-09,43408.499683771995
BE,EUR,2024-10,41614.42786386
BE,EUR,2024-11,26623.136
BE,EUR,2024-12,22944.7068
BE,EUR,2025-01,45537.63258179
BE,EUR,2025-02,27754.377
BE,EUR,2025-03,44173.5202
BE,EUR,2025-04,36344.2126
BE,EUR,2025-05,39047.296
BE,EUR,2025-06,32403.834546416
BE,EUR,2025-07,37218.077000000005
BE,EUR,2025-08,25713.1678795
BE,EUR,2025-09,29605.3444
BE,EUR,2025-10,36511.128823140796
BE,EUR,2025-11,25067.602999999996
BE,EUR,2025-12,24521.95588142
BE,EUR,2026-01,41058.9429413072
BE,EUR,2026-02,34061.164
BE,EUR,2026-03,34739.100661292
BE,EUR,2026-04,28429.351349579498
BE,EUR,2026-05,37705.5259207753
BE,EUR,2026-06,33849.0897146435
BE,EUR,2026-07,28941.9776075287
BE,X1,2014-01,3319.677
BE,X1,2014-02,3352.452
BE,X1,2014-03,3658.936
BE,X1,2014-04,1917.647
BE,X1,2014-05,3331.483
BE,X1,2014-06,3297.158
BE,X1,2014-07,6713.8189999999995
BE,X1,2014-08,5121.646000000001
BE,X1,2014-09,8249.555
BE,X1,2014-10,4851.348999999999
BE,X1,2014-11,9902.664999999999
BE,X1,2014-12,7724.665
BE,X1,2015-01,7440.746
BE,X1,2015-02,9712.21
BE,X1,2015-03,12778.692000000001
BE,X1,2015-04,6393.56
BE,X1,2015-05,6056.901000000001
BE,X1,2015-06,6300.585
BE,X1,2015-07,7258.8679999999995
BE,X1,2015-08,3299.9570000000003
BE,X1,2015-09,9521.189
BE,X1,2015-10,12660.838
BE,X1,2015-11,8844.644
BE,X1,2015-12,4981.932000000001
BE,X1,2016-01,8081.488
BE,X1,2016-02,8789.844
BE,X1,2016-03,8910.799
BE,X1,2016-04,12433.795
BE,X1,2016-05,4103.697
BE,X1,2016-06,3722.7459999999996
BE,X1,2016-07,3073.429
BE,X1,2016-08,8299.914999999999
BE,X1,2016-09,9803.523
BE,X1,2016-10,9673.348
BE,X1,2016-11,11041.730999999998
BE,X1,2016-12,11195.581999999999
BE,X1,2017-01,9230.538
BE,X1,2017-02,7944.422
BE,X1,2017-03,13693.601
BE,X1,2017-04,9028.55
BE,X1,2017-05,10131.413999999999
BE,X1,2017-06,11475.010999999999
BE,X1,2017-07,9635.074999999999
BE,X1,2017-08,9674.527
BE,X1,2017-09,17476.985
BE,X1,2017-10,16616.658
BE,X1,2017-11,16203.776
BE,X1,2017-12,10230.052000000001
BE,X1,2018-01,7722.359
BE,X1,2018-02,8097.785
BE,X1,2018-03,10924.070000000002
BE,X1,2018-04,7009.4619999999995
BE,X1,2018-05,8158.245999999999
BE,X1,2018-06,14015.436999999998
BE,X1,2018-07,10471.919
BE,X1,2018-08,12929.44
BE,X1,2018-09,11780.75
BE,X1,2018-10,12824.836
BE,X1,2018-11,8329.425000000001
BE,X1,2018-12,2796.2089999999994
BE,X1,2019-01,8257.653
BE,X1,2019-02,10525.229
BE,X1,2019-03,6184.264
BE,X1,2019-04,8130.527000000001
BE,X1,2019-05,11192.612
BE,X1,2019-06,1731.0489999999998
BE,X1,2019-07,5595.907
BE,X1,2019-08,9690.177
BE,X1,2019-09,16054.278
BE,X1,2019-10,12859.074999999999
BE,X1,2019-11,11746.432999999999
BE,X1,2019-12,4507.805
BE,X1,2020-01,15415.653
BE,X1,2020-02,9229.565999999999
BE,X1,2020-03,5353.751
BE,X1,2020-04,11242.163999999999
BE,X1,2020-05,7573.989
BE,X1,2020-06,7757.324
BE,X1,2020-07,3535.583
BE,X1,2020-08,5111.549999999999
BE,X1,2020-09,8686.951000000001
BE,X1,2020-10,2626.45
BE,X1,2020-11,8928.381000000001
BE,X1,2020-12,6082.179099999999
BE,X1,2021-01,12320.743846281
BE,X1,2021-02,6745.6958
BE,X1,2021-03,8754.99999
BE,X1,2021-04,6455.80849
BE,X1,2021-05,5568.61566
BE,X1,2021-06,8016.17594
BE,X1,2021-07,6473.4485700000005
BE,X1,2021-08,3863.63681
BE,X1,2021-09,11672.66938
BE,X1,2021-10,4907.22801
BE,X1,2021-11,7988.264520000001
BE,X1,2021-12,3651.6277999999998
BE,X1,2022-01,7715.86554
BE,X1,2022-02,7057.56848
BE,X1,2022-03,14569.933040000002
BE,X1,2022-04,10322.929171193
BE,X1,2022-05,12045.054909999999
BE,X1,2022-06,11667.73315
BE,X1,2022-07,9885.747489999998
BE,X1,2022-08,12534.36359
BE,X1,2022-09,16529.679790000002
BE,X1,2022-10,13896.73344
BE,X1,2022-11,19929.90067
BE,X1,2022-12,5463.80812
BE,X1,2023-01,14569.93803
BE,X1,2023-02,17389.527199999997
BE,X1,2023-03,11038.49583
BE,X1,2023-04,7764.26285
BE,X1,2023-05,9921.3279154545
BE,X1,2023-06,12946.560130000002
BE,X1,2023-07,7417.620629999999
BE,X1,2023-08,12073.747453636299
BE,X1,2023-09,9648.08647
BE,X1,2023-10,7620.8265
BE,X1,2023-11,11022.99771
BE,X1,2023-12,7447.99907
BE,X1,2024-01,12951.82679
BE,X1,2024-02,11075.85382
BE,X1,2024-03,7851.7202099999995
BE,X1,2024-04,10439.817759999998
BE,X1,2024-05,11493.07859
BE,X1,2024-06,9461.7058
BE,X1,2024-07,10200.99467
BE,X1,2024-08,13557.64393
BE,X1,2024-09,10188.7994977785
BE,X1,2024-10,8896.74484
BE,X1,2024-11,9292.06465
BE,X1,2024-12,6319.878479999999
BE,X1,2025-01,10121.84365
BE,X1,2025-02,10186.24904
BE,X1,2025-03,6105.74311
BE,X1,2025-04,9863.543652784489
BE,X1,2025-05,13100.212463954
BE,X1,2025-06,6979.40636
BE,X1,2025-07,8164.93932
BE,X1,2025-08,6299.9988063645005
BE,X1,2025-09,10029.40121
BE,X1,2025-10,9989.953668551001
BE,X1,2025-11,8809.8804742
BE,X1,2025-12,3844.10012
BE,X1,2026-01,8741.948699999999
BE,X1,2026-02,5937.80134
BE,X1,2026-03,5006.5249300000005
BE,X1,2026-04,5194.77735
BE,X1,2026-05,9653.99133
BE,X1,2026-06,7212.961809999999
BE,X1,2026-07,6692.70686
BE,_T,2014-01,26344.055999999997
BE,_T,2014-02,24469.889000000003
BE,_T,2014-03,27870.753
BE,_T,2014-04,20184.801000000003
BE,_T,2014-05,25929.409
BE,_T,2014-06,20476.33
BE,_T,2014-07,23224.032
BE,_T,2014-08,19183.668999999998
BE,_T,2014-09,25586.944
BE,_T,2014-10,23296.165
BE,_T,2014-11,26602.847999999998
BE,_T,2014-12,24512.529000000002
BE,_T,2015-01,28387.715000000004
BE,_T,2015-02,30747.034
BE,_T,2015-03,37202.688
BE,_T,2015-04,28812.055999999997
BE,_T,2015-05,25615.773
BE,_T,2015-06,23746.720999999998
BE,_T,2015-07,28402.490999999998
BE,_T,2015-08,15604.651
BE,_T,2015-09,27265.312
BE,_T,2015-10,34304.846000000005
BE,_T,2015-11,30819.67
BE,_T,2015-12,19255.93
BE,_T,2016-01,32200.964999999997
BE,_T,2016-02,24183.996
BE,_T,2016-03,39905.829
BE,_T,2016-04,31275.499
BE,_T,2016-05,27324.374
BE,_T,2016-06,19981.728
BE,_T,2016-07,22968.014
BE,_T,2016-08,19869.291
BE,_T,2016-09,30220.67
BE,_T,2016-10,28227.922
BE,_T,2016-11,28597.71
BE,_T,2016-12,27420.635000000002
BE,_T,2017-01,32561.385000000002
BE,_T,2017-02,28043.845999999998
BE,_T,2017-03,38012.065
BE,_T,2017-04,28529.913
BE,_T,2017-05,37072.134000000005
BE,_T,2017-06,36686.814
BE,_T,2017-07,27155.792
BE,_T,2017-08,28722.843
BE,_T,2017-09,44186.709
BE,_T,2017-10,37472.929000000004
BE,_T,2017-11,33046.58
BE,_T,2017-12,29452.621999999996
BE,_T,2018-01,36179.409
BE,_T,2018-02,27245.115999999998
BE,_T,2018-03,43149.701
BE,_T,2018-04,27471.099000000002
BE,_T,2018-05,22647.148999999998
BE,_T,2018-06,37633.914000000004
BE,_T,2018-07,29493.472
BE,_T,2018-08,24581.283000000003
BE,_T,2018-09,36527.075
BE,_T,2018-10,31391.924
BE,_T,2018-11,30807.875
BE,_T,2018-12,22875.534
BE,_T,2019-01,38869.93
BE,_T,2019-02,35229.591
BE,_T,2019-03,29089.258
BE,_T,2019-04,27132.086000000003
BE,_T,2019-05,29502.447
